"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - auc","1_1_w=0.6 - auc__MIN","1_1_w=0.6 - auc__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - auc","1_4_w=0.6 - auc__MIN","1_4_w=0.6 - auc__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - auc","2_4_w=0.6 - auc__MIN","2_4_w=0.6 - auc__MAX"
"0","0","0","0","0.6959315571193209","0.6959315571193209","0.6959315571193209","0","0","0","0.6859685095801238","0.6859685095801238","0.6859685095801238","0","0","0","0.6840579589674527","0.6840579589674527","0.6840579589674527"
"1","2","2","2","0.7329278565288265","0.7329278565288265","0.7329278565288265","2","2","2","0.7017135596723877","0.7017135596723877","0.7017135596723877","2","2","2","0.6861859441385025","0.6861859441385025","0.6861859441385025"
"2","4","4","4","0.7812796472550855","0.7812796472550855","0.7812796472550855","4","4","4","0.7055124168807826","0.7055124168807826","0.7055124168807826","4","4","4","0.6964695328022019","0.6964695328022019","0.6964695328022019"
"3","6","6","6","0.8408050903038364","0.8408050903038364","0.8408050903038364","6","6","6","0.7490950908584044","0.7490950908584044","0.7490950908584044","6","6","6","0.6983340027457436","0.6983340027457436","0.6983340027457436"
"4","8","8","8","0.896734911113466","0.896734911113466","0.896734911113466","8","8","8","0.760112399346673","0.760112399346673","0.760112399346673","8","8","8","0.7022950696251266","0.7022950696251266","0.7022950696251266"
"5","10","10","10","0.9107039900639368","0.9107039900639368","0.9107039900639368","10","10","10","0.7724274875291663","0.7724274875291663","0.7724274875291663","10","10","10","0.7046014986971303","0.7046014986971303","0.7046014986971303"
"6","12","12","12","0.9139213582253196","0.9139213582253196","0.9139213582253196","12","12","12","0.7830813830081951","0.7830813830081951","0.7830813830081951","12","12","12","0.7090927531933835","0.7090927531933835","0.7090927531933835"
"7","14","14","14","0.9253181919994989","0.9253181919994989","0.9253181919994989","14","14","14","0.7897473147787546","0.7897473147787546","0.7897473147787546","14","14","14","0.7224678375998727","0.7224678375998727","0.7224678375998727"
"8","16","16","16","0.9487708850161884","0.9487708850161884","0.9487708850161884","16","16","16","0.7976718131900165","0.7976718131900165","0.7976718131900165","16","16","16","0.7203729789060209","0.7203729789060209","0.7203729789060209"
"9","18","18","18","0.9134756213738451","0.9134756213738451","0.9134756213738451","18","18","18","0.8149288910754441","0.8149288910754441","0.8149288910754441","18","18","18","0.7510101571357775","0.7510101571357775","0.7510101571357775"
"10","20","20","20","0.9552284447668937","0.9552284447668937","0.9552284447668937","20","20","20","0.8165736190789097","0.8165736190789097","0.8165736190789097","20","20","20","0.7637781536928571","0.7637781536928571","0.7637781536928571"
"11","22","22","22","0.9567363798573011","0.9567363798573011","0.9567363798573011","22","22","22","0.837018251631251","0.837018251631251","0.837018251631251","22","22","22","0.7723285184819969","0.7723285184819969","0.7723285184819969"
"12","24","24","24","0.9530543034492204","0.9530543034492204","0.9530543034492204","24","24","24","0.8740545782562185","0.8740545782562185","0.8740545782562185","24","24","24","0.7832026108186385","0.7832026108186385","0.7832026108186385"
"13","26","26","26","0.9633839080046184","0.9633839080046184","0.9633839080046184","26","26","26","0.8896923801928157","0.8896923801928157","0.8896923801928157","26","26","26","0.7894833622297179","0.7894833622297179","0.7894833622297179"
"14","28","28","28","0.9657224556765603","0.9657224556765603","0.9657224556765603","28","28","28","0.9007545248416298","0.9007545248416298","0.9007545248416298","28","28","28","0.7933167935718899","0.7933167935718899","0.7933167935718899"
"15","30","30","30","0.9524269702578296","0.9524269702578296","0.9524269702578296","30","30","30","0.9034910496897567","0.9034910496897567","0.9034910496897567","30","30","30","0.8082236985280891","0.8082236985280891","0.8082236985280891"
"16","32","32","32","0.9649409950953984","0.9649409950953984","0.9649409950953984","32","32","32","0.926962922382166","0.926962922382166","0.926962922382166","32","32","32","0.8207324158144416","0.8207324158144416","0.8207324158144416"
"17","34","34","34","0.9666915174676757","0.9666915174676757","0.9666915174676757","34","34","34","0.9297111518585578","0.9297111518585578","0.9297111518585578","34","34","34","0.8416206260613435","0.8416206260613435","0.8416206260613435"
"18","36","36","36","0.9733660812788901","0.9733660812788901","0.9733660812788901","36","36","36","0.939428541191611","0.939428541191611","0.939428541191611","36","36","36","0.8433505612005117","0.8433505612005117","0.8433505612005117"
"19","38","38","38","0.9762066744243779","0.9762066744243779","0.9762066744243779","38","38","38","0.9382164980167336","0.9382164980167336","0.9382164980167336","38","38","38","0.8536711941460184","0.8536711941460184","0.8536711941460184"
"20","40","40","40","0.978801895935298","0.978801895935298","0.978801895935298","40","40","40","0.9467453330322129","0.9467453330322129","0.9467453330322129","40","40","40","0.8622425770321298","0.8622425770321298","0.8622425770321298"
"21","42","42","42","0.980078316319122","0.980078316319122","0.980078316319122","42","42","42","0.9460405452460356","0.9460405452460356","0.9460405452460356","42","42","42","0.8750913912724523","0.8750913912724523","0.8750913912724523"
"22","44","44","44","0.9812679959791122","0.9812679959791122","0.9812679959791122","44","44","44","0.95121845650797","0.95121845650797","0.95121845650797","44","44","44","0.8558043184312625","0.8558043184312625","0.8558043184312625"
"23","46","46","46","0.9799918273232476","0.9799918273232476","0.9799918273232476","46","46","46","0.9488495658832139","0.9488495658832139","0.9488495658832139","46","46","46","0.8729214772848501","0.8729214772848501","0.8729214772848501"
"24","48","48","48","0.9828351524690994","0.9828351524690994","0.9828351524690994","48","48","48","0.9541514410140342","0.9541514410140342","0.9541514410140342","48","48","48","0.8897864852635596","0.8897864852635596","0.8897864852635596"
"25","50","50","50","0.9812654271538802","0.9812654271538802","0.9812654271538802","50","50","50","0.9479011574128325","0.9479011574128325","0.9479011574128325","50","50","50","0.8483777915165073","0.8483777915165073","0.8483777915165073"
"26","52","52","52","0.981845766737476","0.981845766737476","0.981845766737476","52","52","52","0.9563955486395418","0.9563955486395418","0.9563955486395418","52","52","52","0.8896894025197448","0.8896894025197448","0.8896894025197448"
"27","54","54","54","0.9823597049926714","0.9823597049926714","0.9823597049926714","54","54","54","0.9575975206541143","0.9575975206541143","0.9575975206541143","54","54","54","0.9004211040561367","0.9004211040561367","0.9004211040561367"
"28","56","56","56","0.9829438649516353","0.9829438649516353","0.9829438649516353","56","56","56","0.9576242168228521","0.9576242168228521","0.9576242168228521","56","56","56","0.9021650849519888","0.9021650849519888","0.9021650849519888"
"29","58","58","58","0.979819534089585","0.979819534089585","0.979819534089585","58","58","58","0.9579025551030359","0.9579025551030359","0.9579025551030359","58","58","58","0.9075429688172225","0.9075429688172225","0.9075429688172225"
"30","60","60","60","0.9847401909868686","0.9847401909868686","0.9847401909868686","60","60","60","0.9607847206121074","0.9607847206121074","0.9607847206121074","60","60","60","0.9115446965927012","0.9115446965927012","0.9115446965927012"
"31","62","62","62","0.983746244105798","0.983746244105798","0.983746244105798","62","62","62","0.9572613730218947","0.9572613730218947","0.9572613730218947","62","62","62","0.9122609742542709","0.9122609742542709","0.9122609742542709"
"32","64","64","64","0.9854087537347891","0.9854087537347891","0.9854087537347891","64","64","64","0.9631619362715479","0.9631619362715479","0.9631619362715479","64","64","64","0.9189764407576747","0.9189764407576747","0.9189764407576747"
"33","66","66","66","0.9847752020605445","0.9847752020605445","0.9847752020605445","66","66","66","0.9652171587686365","0.9652171587686365","0.9652171587686365","66","66","66","0.9015247767224515","0.9015247767224515","0.9015247767224515"
"34","68","68","68","0.9896361705163039","0.9896361705163039","0.9896361705163039","68","68","68","0.951737557997472","0.951737557997472","0.951737557997472","68","68","68","0.9130512620312994","0.9130512620312994","0.9130512620312994"
"35","70","70","70","0.990059583942762","0.990059583942762","0.990059583942762","70","70","70","0.967119340147531","0.967119340147531","0.967119340147531","70","70","70","0.90676874507367","0.90676874507367","0.90676874507367"
"36","72","72","72","0.9893839026952815","0.9893839026952815","0.9893839026952815","72","72","72","0.9679860130375745","0.9679860130375745","0.9679860130375745","72","72","72","0.9181498445944158","0.9181498445944158","0.9181498445944158"
"37","74","74","74","0.9684299512797041","0.9684299512797041","0.9684299512797041","74","74","74","0.9651125195649028","0.9651125195649028","0.9651125195649028","74","74","74","0.9241499124235577","0.9241499124235577","0.9241499124235577"
"38","76","76","76","0.9836885458243526","0.9836885458243526","0.9836885458243526","76","76","76","0.9711671196804346","0.9711671196804346","0.9711671196804346","76","76","76","0.9279597622833831","0.9279597622833831","0.9279597622833831"
"39","78","78","78","0.9909185535761802","0.9909185535761802","0.9909185535761802","78","78","78","0.9415364978345255","0.9415364978345255","0.9415364978345255","78","78","78","0.9008587890255556","0.9008587890255556","0.9008587890255556"
"40","80","80","80","0.9919666748882179","0.9919666748882179","0.9919666748882179","80","80","80","0.9621937975891652","0.9621937975891652","0.9621937975891652","80","80","80","0.9113985567083835","0.9113985567083835","0.9113985567083835"
"41","82","82","82","0.9882765597742126","0.9882765597742126","0.9882765597742126","82","82","82","0.9651525617842791","0.9651525617842791","0.9651525617842791","82","82","82","0.9236235533248","0.9236235533248","0.9236235533248"
"42","84","84","84","0.9918878080869427","0.9918878080869427","0.9918878080869427","84","84","84","0.9674523897889024","0.9674523897889024","0.9674523897889024","84","84","84","0.9276176085883067","0.9276176085883067","0.9276176085883067"
"43","86","86","86","0.9926611525213682","0.9926611525213682","0.9926611525213682","86","86","86","0.9735512324935676","0.9735512324935676","0.9735512324935676","86","86","86","0.9303028570600851","0.9303028570600851","0.9303028570600851"
"44","88","88","88","0.9920567532376343","0.9920567532376343","0.9920567532376343","88","88","88","0.9744561184109487","0.9744561184109487","0.9744561184109487","88","88","88","0.9328050974964281","0.9328050974964281","0.9328050974964281"
"45","90","90","90","0.9929422084289283","0.9929422084289283","0.9929422084289283","90","90","90","0.9628904139432708","0.9628904139432708","0.9628904139432708","90","90","90","0.9350583426100514","0.9350583426100514","0.9350583426100514"
"46","92","92","92","0.9938514686423938","0.9938514686423938","0.9938514686423938","92","92","92","0.9757437672085747","0.9757437672085747","0.9757437672085747","92","92","92","0.9216383188596409","0.9216383188596409","0.9216383188596409"
"47","94","94","94","0.9926175198492417","0.9926175198492417","0.9926175198492417","94","94","94","0.9775098807254708","0.9775098807254708","0.9775098807254708","94","94","94","0.9334679481927575","0.9334679481927575","0.9334679481927575"
"48","96","96","96","0.9936467636139884","0.9936467636139884","0.9936467636139884","96","96","96","0.9772366667608456","0.9772366667608456","0.9772366667608456","96","96","96","0.9373263063239821","0.9373263063239821","0.9373263063239821"
"49","98","98","98","0.9934901264583706","0.9934901264583706","0.9934901264583706","98","98","98","0.9762791406376908","0.9762791406376908","0.9762791406376908","98","98","98","0.9396323314473254","0.9396323314473254","0.9396323314473254"
"50","100","100","100","0.9948955510841914","0.9948955510841914","0.9948955510841914","100","100","100","0.9630809118975874","0.9630809118975874","0.9630809118975874","100","100","100","0.9292278466961177","0.9292278466961177","0.9292278466961177"
"51","102","102","102","0.9947399239632848","0.9947399239632848","0.9947399239632848","102","102","102","0.9779214873501476","0.9779214873501476","0.9779214873501476","102","102","102","0.9395845261768639","0.9395845261768639","0.9395845261768639"
"52","104","104","104","0.9938930787754087","0.9938930787754087","0.9938930787754087","104","104","104","0.9788638766169755","0.9788638766169755","0.9788638766169755","104","104","104","0.9428491440182092","0.9428491440182092","0.9428491440182092"
"53","106","106","106","0.9943115519578513","0.9943115519578513","0.9943115519578513","106","106","106","0.9768806198201055","0.9768806198201055","0.9768806198201055","106","106","106","0.9429787481935064","0.9429787481935064","0.9429787481935064"
"54","108","108","108","0.9827318720273904","0.9827318720273904","0.9827318720273904","108","108","108","0.9823401359241827","0.9823401359241827","0.9823401359241827","108","108","108","0.9432952775224601","0.9432952775224601","0.9432952775224601"
"55","110","110","110","0.992286138207391","0.992286138207391","0.992286138207391","110","110","110","0.9832672284611348","0.9832672284611348","0.9832672284611348","110","110","110","0.9461534056747347","0.9461534056747347","0.9461534056747347"
"56","112","112","112","0.9950379266385779","0.9950379266385779","0.9950379266385779","112","112","112","0.9804816972635144","0.9804816972635144","0.9804816972635144","112","112","112","0.944140280372384","0.944140280372384","0.944140280372384"
"57","114","114","114","0.9954446665923864","0.9954446665923864","0.9954446665923864","114","114","114","0.9821628757681057","0.9821628757681057","0.9821628757681057","114","114","114","0.9474077107412504","0.9474077107412504","0.9474077107412504"
"58","116","116","116","0.994993951048267","0.994993951048267","0.994993951048267","116","116","116","0.9817485882322483","0.9817485882322483","0.9817485882322483","116","116","116","0.948891804129887","0.948891804129887","0.948891804129887"
"59","118","118","118","0.9869228228542621","0.9869228228542621","0.9869228228542621","118","118","118","0.9735399862880928","0.9735399862880928","0.9735399862880928","118","118","118","0.9484925930708255","0.9484925930708255","0.9484925930708255"
"60","120","120","120","0.9962594567911589","0.9962594567911589","0.9962594567911589","120","120","120","0.9840559159246501","0.9840559159246501","0.9840559159246501","120","120","120","0.9517215751311774","0.9517215751311774","0.9517215751311774"
"61","122","122","122","0.9952699326117358","0.9952699326117358","0.9952699326117358","122","122","122","0.985702738729306","0.985702738729306","0.985702738729306","122","122","122","0.9541334575208622","0.9541334575208622","0.9541334575208622"
"62","124","124","124","0.996407601959213","0.996407601959213","0.996407601959213","124","124","124","0.9838884747197436","0.9838884747197436","0.9838884747197436","124","124","124","0.8971712568829429","0.8971712568829429","0.8971712568829429"
"63","126","126","126","0.9965361134218659","0.9965361134218659","0.9965361134218659","126","126","126","0.9807541642428176","0.9807541642428176","0.9807541642428176","126","126","126","0.9213970564356679","0.9213970564356679","0.9213970564356679"
"64","128","128","128","0.9967824737614983","0.9967824737614983","0.9967824737614983","128","128","128","0.9805756533304159","0.9805756533304159","0.9805756533304159","128","128","128","0.9325854594013839","0.9325854594013839","0.9325854594013839"
"65","130","130","130","0.9900678367633425","0.9900678367633425","0.9900678367633425","130","130","130","0.9859489085693816","0.9859489085693816","0.9859489085693816","130","130","130","0.939308181621626","0.939308181621626","0.939308181621626"
"66","132","132","132","0.9669769952029533","0.9669769952029533","0.9669769952029533","132","132","132","0.9842720470368791","0.9842720470368791","0.9842720470368791","132","132","132","0.943426829024623","0.943426829024623","0.943426829024623"
"67","134","134","134","0.9876886726093652","0.9876886726093652","0.9876886726093652","134","134","134","0.9876128737641492","0.9876128737641492","0.9876128737641492","134","134","134","0.9461056910817033","0.9461056910817033","0.9461056910817033"
"68","136","136","136","0.9956961779550784","0.9956961779550784","0.9956961779550784","136","136","136","0.9111437622552763","0.9111437622552763","0.9111437622552763","136","136","136","0.9489400738997268","0.9489400738997268","0.9489400738997268"
"69","138","138","138","0.9961633186630935","0.9961633186630935","0.9961633186630935","138","138","138","0.9568114188517632","0.9568114188517632","0.9568114188517632","138","138","138","0.9514426624362597","0.9514426624362597","0.9514426624362597"
"70","140","140","140","0.9965581695709534","0.9965581695709534","0.9965581695709534","140","140","140","0.9697292216018267","0.9697292216018267","0.9697292216018267","140","140","140","0.9532271390831799","0.9532271390831799","0.9532271390831799"
"71","142","142","142","0.9966527044146402","0.9966527044146402","0.9966527044146402","142","142","142","0.9449966113422543","0.9449966113422543","0.9449966113422543","142","142","142","0.9548177169839134","0.9548177169839134","0.9548177169839134"
"72","144","144","144","0.9969760332837351","0.9969760332837351","0.9969760332837351","144","144","144","0.9728853417475207","0.9728853417475207","0.9728853417475207","144","144","144","0.9547635582963526","0.9547635582963526","0.9547635582963526"
"73","146","146","146","0.9970247353390568","0.9970247353390568","0.9970247353390568","146","146","146","0.9802771395020321","0.9802771395020321","0.9802771395020321","146","146","146","0.9499574905131839","0.9499574905131839","0.9499574905131839"
"74","148","148","148","0.9973316309358007","0.9973316309358007","0.9973316309358007","148","148","148","0.9811690182765637","0.9811690182765637","0.9811690182765637","148","148","148","0.956209026421285","0.956209026421285","0.956209026421285"
"75","150","150","150","0.9972879335222533","0.9972879335222533","0.9972879335222533","150","150","150","0.9838568528038306","0.9838568528038306","0.9838568528038306","150","150","150","0.9583802734188143","0.9583802734188143","0.9583802734188143"
"76","152","152","152","0.9973452533638429","0.9973452533638429","0.9973452533638429","152","152","152","0.985555384947533","0.985555384947533","0.985555384947533","152","152","152","0.9338216496219853","0.9338216496219853","0.9338216496219853"
"77","154","154","154","0.9964861833215716","0.9964861833215716","0.9964861833215716","154","154","154","0.9855302444652279","0.9855302444652279","0.9855302444652279","154","154","154","0.948212893516627","0.948212893516627","0.948212893516627"
"78","156","156","156","0.9575902384499164","0.9575902384499164","0.9575902384499164","156","156","156","0.9620465568028423","0.9620465568028423","0.9620465568028423","156","156","156","0.9541987913441238","0.9541987913441238","0.9541987913441238"
"79","158","158","158","0.9464143123474417","0.9464143123474417","0.9464143123474417","158","158","158","0.9805783288510493","0.9805783288510493","0.9805783288510493","158","158","158","0.9574203198098534","0.9574203198098534","0.9574203198098534"
"80","160","160","160","0.9835808021392921","0.9835808021392921","0.9835808021392921","160","160","160","0.9848184729664626","0.9848184729664626","0.9848184729664626","160","160","160","0.9604690623223051","0.9604690623223051","0.9604690623223051"
"81","162","162","162","0.9884157886576098","0.9884157886576098","0.9884157886576098","162","162","162","0.9862043335318535","0.9862043335318535","0.9862043335318535","162","162","162","0.9613074661007587","0.9613074661007587","0.9613074661007587"
"82","164","164","164","0.9794309623203028","0.9794309623203028","0.9794309623203028","164","164","164","0.978159968051036","0.978159968051036","0.978159968051036","164","164","164","0.9564304258156704","0.9564304258156704","0.9564304258156704"
"83","166","166","166","0.9937866521847123","0.9937866521847123","0.9937866521847123","166","166","166","0.9852986639328153","0.9852986639328153","0.9852986639328153","166","166","166","0.94469297806742","0.94469297806742","0.94469297806742"
"84","168","168","168","0.9953763780589042","0.9953763780589042","0.9953763780589042","168","168","168","0.9870836561818855","0.9870836561818855","0.9870836561818855","168","168","168","0.9522417475258901","0.9522417475258901","0.9522417475258901"
"85","170","170","170","0.9955406630500799","0.9955406630500799","0.9955406630500799","170","170","170","0.9878081389079569","0.9878081389079569","0.9878081389079569","170","170","170","0.9575344980452423","0.9575344980452423","0.9575344980452423"
"86","172","172","172","0.9957463651841596","0.9957463651841596","0.9957463651841596","172","172","172","0.987928654427884","0.987928654427884","0.987928654427884","172","172","172","0.9598519606854337","0.9598519606854337","0.9598519606854337"
"87","174","174","174","0.9945812784751559","0.9945812784751559","0.9945812784751559","174","174","174","0.9886038032185086","0.9886038032185086","0.9886038032185086","174","174","174","0.9613417145840661","0.9613417145840661","0.9613417145840661"
"88","176","176","176","0.9964975707937839","0.9964975707937839","0.9964975707937839","176","176","176","0.9771292958207237","0.9771292958207237","0.9771292958207237","176","176","176","0.9629679599425772","0.9629679599425772","0.9629679599425772"
"89","178","178","178","0.9969043907029732","0.9969043907029732","0.9969043907029732","178","178","178","0.9867188904090102","0.9867188904090102","0.9867188904090102","178","178","178","0.9642867344332362","0.9642867344332362","0.9642867344332362"
"90","180","180","180","0.9969623108905162","0.9969623108905162","0.9969623108905162","180","180","180","0.9887625679805394","0.9887625679805394","0.9887625679805394","180","180","180","0.958155540637385","0.958155540637385","0.958155540637385"
"91","182","182","182","0.9867697750623255","0.9867697750623255","0.9867697750623255","182","182","182","0.9893501386975576","0.9893501386975576","0.9893501386975576","182","182","182","0.9629198813658253","0.9629198813658253","0.9629198813658253"
"92","184","184","184","0.9968984259745514","0.9968984259745514","0.9968984259745514","184","184","184","0.9876299102300413","0.9876299102300413","0.9876299102300413","184","184","184","0.9650161703195207","0.9650161703195207","0.9650161703195207"
"93","186","186","186","0.9971834279421099","0.9971834279421099","0.9971834279421099","186","186","186","0.9884043459646248","0.9884043459646248","0.9884043459646248","186","186","186","0.9629707790608716","0.9629707790608716","0.9629707790608716"
"94","188","188","188","0.9969811483867028","0.9969811483867028","0.9969811483867028","188","188","188","0.9897309770976036","0.9897309770976036","0.9897309770976036","188","188","188","0.9659105560533519","0.9659105560533519","0.9659105560533519"
"95","190","190","190","0.9967749024811579","0.9967749024811579","0.9967749024811579","190","190","190","0.9717775034730306","0.9717775034730306","0.9717775034730306","190","190","190","0.9670456032302785","0.9670456032302785","0.9670456032302785"
"96","192","192","192","0.9976064590086776","0.9976064590086776","0.9976064590086776","192","192","192","0.985294869375836","0.985294869375836","0.985294869375836","192","192","192","0.9646455666261832","0.9646455666261832","0.9646455666261832"
"97","194","194","194","0.997200638216542","0.997200638216542","0.997200638216542","194","194","194","0.9887090258634507","0.9887090258634507","0.9887090258634507","194","194","194","0.968421222471774","0.968421222471774","0.968421222471774"
"98","196","196","196","0.9976377289402482","0.9976377289402482","0.9976377289402482","196","196","196","0.9897992884379436","0.9897992884379436","0.9897992884379436","196","196","196","0.9691542389538101","0.9691542389538101","0.9691542389538101"
"99","198","198","198","0.9970246524202163","0.9970246524202163","0.9970246524202163","198","198","198","0.9904126730715228","0.9904126730715228","0.9904126730715228","198","198","198","0.9616863257354509","0.9616863257354509","0.9616863257354509"