"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - eff","1_1_w=0.6 - eff__MIN","1_1_w=0.6 - eff__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - eff","1_4_w=0.6 - eff__MIN","1_4_w=0.6 - eff__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - eff","2_4_w=0.6 - eff__MIN","2_4_w=0.6 - eff__MAX"
"0","0","0","0","0.5391576290130615","0.5391576290130615","0.5391576290130615","0","0","0","0.712411642074585","0.712411642074585","0.712411642074585","0","0","0","0.6786163449287415","0.6786163449287415","0.6786163449287415"
"1","2","2","2","0.5184230208396912","0.5184230208396912","0.5184230208396912","2","2","2","0.5967982411384583","0.5967982411384583","0.5967982411384583","2","2","2","0.585689902305603","0.585689902305603","0.585689902305603"
"2","4","4","4","0.7874499559402466","0.7874499559402466","0.7874499559402466","4","4","4","0.5400245189666748","0.5400245189666748","0.5400245189666748","4","4","4","0.5038720369338989","0.5038720369338989","0.5038720369338989"
"3","6","6","6","0.6982907652854919","0.6982907652854919","0.6982907652854919","6","6","6","0.40128272771835327","0.40128272771835327","0.40128272771835327","6","6","6","0.7827417850494385","0.7827417850494385","0.7827417850494385"
"4","8","8","8","0.8147006034851074","0.8147006034851074","0.8147006034851074","8","8","8","0.6012991666793823","0.6012991666793823","0.6012991666793823","8","8","8","0.5661365389823914","0.5661365389823914","0.5661365389823914"
"5","10","10","10","0.8445063233375549","0.8445063233375549","0.8445063233375549","10","10","10","0.7929211854934692","0.7929211854934692","0.7929211854934692","10","10","10","0.6788161993026733","0.6788161993026733","0.6788161993026733"
"6","12","12","12","0.820758581161499","0.820758581161499","0.820758581161499","12","12","12","0.7386777400970459","0.7386777400970459","0.7386777400970459","12","12","12","0.625928521156311","0.625928521156311","0.625928521156311"
"7","14","14","14","0.8620208501815796","0.8620208501815796","0.8620208501815796","14","14","14","0.7673946619033813","0.7673946619033813","0.7673946619033813","14","14","14","0.6462795734405518","0.6462795734405518","0.6462795734405518"
"8","16","16","16","0.8996574282646179","0.8996574282646179","0.8996574282646179","16","16","16","0.7552043199539185","0.7552043199539185","0.7552043199539185","16","16","16","0.8182629942893982","0.8182629942893982","0.8182629942893982"
"9","18","18","18","0.8714175820350647","0.8714175820350647","0.8714175820350647","18","18","18","0.7690635919570923","0.7690635919570923","0.7690635919570923","18","18","18","0.5837509632110596","0.5837509632110596","0.5837509632110596"
"10","20","20","20","0.8834066390991211","0.8834066390991211","0.8834066390991211","20","20","20","0.7570580244064331","0.7570580244064331","0.7570580244064331","20","20","20","0.7073236703872681","0.7073236703872681","0.7073236703872681"
"11","22","22","22","0.911904513835907","0.911904513835907","0.911904513835907","22","22","22","0.7690771818161011","0.7690771818161011","0.7690771818161011","22","22","22","0.711982250213623","0.711982250213623","0.711982250213623"
"12","24","24","24","0.9032472372055054","0.9032472372055054","0.9032472372055054","24","24","24","0.7841848731040955","0.7841848731040955","0.7841848731040955","24","24","24","0.7254238128662109","0.7254238128662109","0.7254238128662109"
"13","26","26","26","0.9029175043106079","0.9029175043106079","0.9029175043106079","26","26","26","0.8192765712738037","0.8192765712738037","0.8192765712738037","26","26","26","0.8205726146697998","0.8205726146697998","0.8205726146697998"
"14","28","28","28","0.9206500053405762","0.9206500053405762","0.9206500053405762","28","28","28","0.8413785696029663","0.8413785696029663","0.8413785696029663","28","28","28","0.7529654502868652","0.7529654502868652","0.7529654502868652"
"15","30","30","30","0.8919038772583008","0.8919038772583008","0.8919038772583008","30","30","30","0.8411643505096436","0.8411643505096436","0.8411643505096436","30","30","30","0.7981823682785034","0.7981823682785034","0.7981823682785034"
"16","32","32","32","0.9244881868362427","0.9244881868362427","0.9244881868362427","32","32","32","0.8458656072616577","0.8458656072616577","0.8458656072616577","32","32","32","0.7466071844100952","0.7466071844100952","0.7466071844100952"
"17","34","34","34","0.9128040075302124","0.9128040075302124","0.9128040075302124","34","34","34","0.8586496114730835","0.8586496114730835","0.8586496114730835","34","34","34","0.7338688969612122","0.7338688969612122","0.7338688969612122"
"18","36","36","36","0.9256981611251831","0.9256981611251831","0.9256981611251831","36","36","36","0.8857929706573486","0.8857929706573486","0.8857929706573486","36","36","36","0.7341040372848511","0.7341040372848511","0.7341040372848511"
"19","38","38","38","0.9301405549049377","0.9301405549049377","0.9301405549049377","38","38","38","0.8875734806060791","0.8875734806060791","0.8875734806060791","38","38","38","0.7985559701919556","0.7985559701919556","0.7985559701919556"
"20","40","40","40","0.9336669445037842","0.9336669445037842","0.9336669445037842","40","40","40","0.891221821308136","0.891221821308136","0.891221821308136","40","40","40","0.8117612600326538","0.8117612600326538","0.8117612600326538"
"21","42","42","42","0.9422165751457214","0.9422165751457214","0.9422165751457214","42","42","42","0.8990470170974731","0.8990470170974731","0.8990470170974731","42","42","42","0.8238730430603027","0.8238730430603027","0.8238730430603027"
"22","44","44","44","0.9407610297203064","0.9407610297203064","0.9407610297203064","44","44","44","0.9016292095184326","0.9016292095184326","0.9016292095184326","44","44","44","0.860327959060669","0.860327959060669","0.860327959060669"
"23","46","46","46","0.9488236308097839","0.9488236308097839","0.9488236308097839","46","46","46","0.8957021832466125","0.8957021832466125","0.8957021832466125","46","46","46","0.8090131282806396","0.8090131282806396","0.8090131282806396"
"24","48","48","48","0.9513511657714844","0.9513511657714844","0.9513511657714844","48","48","48","0.9151874780654907","0.9151874780654907","0.9151874780654907","48","48","48","0.8512164354324341","0.8512164354324341","0.8512164354324341"
"25","50","50","50","0.9422951936721802","0.9422951936721802","0.9422951936721802","50","50","50","0.897952139377594","0.897952139377594","0.897952139377594","50","50","50","0.8524025678634644","0.8524025678634644","0.8524025678634644"
"26","52","52","52","0.9402905702590942","0.9402905702590942","0.9402905702590942","52","52","52","0.9135148525238037","0.9135148525238037","0.9135148525238037","52","52","52","0.8478975892066956","0.8478975892066956","0.8478975892066956"
"27","54","54","54","0.9567924737930298","0.9567924737930298","0.9567924737930298","54","54","54","0.90842604637146","0.90842604637146","0.90842604637146","54","54","54","0.8374892473220825","0.8374892473220825","0.8374892473220825"
"28","56","56","56","0.9441728591918945","0.9441728591918945","0.9441728591918945","56","56","56","0.917926549911499","0.917926549911499","0.917926549911499","56","56","56","0.8434263467788696","0.8434263467788696","0.8434263467788696"
"29","58","58","58","0.9335275888442993","0.9335275888442993","0.9335275888442993","58","58","58","0.917178750038147","0.917178750038147","0.917178750038147","58","58","58","0.8633996844291687","0.8633996844291687","0.8633996844291687"
"30","60","60","60","0.9615687727928162","0.9615687727928162","0.9615687727928162","60","60","60","0.906488835811615","0.906488835811615","0.906488835811615","60","60","60","0.8211461305618286","0.8211461305618286","0.8211461305618286"
"31","62","62","62","0.961361825466156","0.961361825466156","0.961361825466156","62","62","62","0.9040743112564087","0.9040743112564087","0.9040743112564087","62","62","62","0.8358554244041443","0.8358554244041443","0.8358554244041443"
"32","64","64","64","0.9499756693840027","0.9499756693840027","0.9499756693840027","64","64","64","0.924036979675293","0.924036979675293","0.924036979675293","64","64","64","0.8624069690704346","0.8624069690704346","0.8624069690704346"
"33","66","66","66","0.9546843767166138","0.9546843767166138","0.9546843767166138","66","66","66","0.9336124658584595","0.9336124658584595","0.9336124658584595","66","66","66","0.8429237604141235","0.8429237604141235","0.8429237604141235"
"34","68","68","68","0.9681593179702759","0.9681593179702759","0.9681593179702759","68","68","68","0.9339096546173096","0.9339096546173096","0.9339096546173096","68","68","68","0.8433361649513245","0.8433361649513245","0.8433361649513245"
"35","70","70","70","0.9658828973770142","0.9658828973770142","0.9658828973770142","70","70","70","0.9215491414070129","0.9215491414070129","0.9215491414070129","70","70","70","0.7814593315124512","0.7814593315124512","0.7814593315124512"
"36","72","72","72","0.9620406031608582","0.9620406031608582","0.9620406031608582","72","72","72","0.937292218208313","0.937292218208313","0.937292218208313","72","72","72","0.8599077463150024","0.8599077463150024","0.8599077463150024"
"37","74","74","74","0.9303075075149536","0.9303075075149536","0.9303075075149536","74","74","74","0.9211002588272095","0.9211002588272095","0.9211002588272095","74","74","74","0.8825414776802063","0.8825414776802063","0.8825414776802063"
"38","76","76","76","0.9551230669021606","0.9551230669021606","0.9551230669021606","76","76","76","0.9348863959312439","0.9348863959312439","0.9348863959312439","76","76","76","0.8771933317184448","0.8771933317184448","0.8771933317184448"
"39","78","78","78","0.966757595539093","0.966757595539093","0.966757595539093","78","78","78","0.8947003483772278","0.8947003483772278","0.8947003483772278","78","78","78","0.8746212720870972","0.8746212720870972","0.8746212720870972"
"40","80","80","80","0.9663257598876953","0.9663257598876953","0.9663257598876953","80","80","80","0.9112688302993774","0.9112688302993774","0.9112688302993774","80","80","80","0.8434320688247681","0.8434320688247681","0.8434320688247681"
"41","82","82","82","0.9526452422142029","0.9526452422142029","0.9526452422142029","82","82","82","0.9440447092056274","0.9440447092056274","0.9440447092056274","82","82","82","0.8678814172744751","0.8678814172744751","0.8678814172744751"
"42","84","84","84","0.9634271264076233","0.9634271264076233","0.9634271264076233","84","84","84","0.923168420791626","0.923168420791626","0.923168420791626","84","84","84","0.8479664325714111","0.8479664325714111","0.8479664325714111"
"43","86","86","86","0.9613755941390991","0.9613755941390991","0.9613755941390991","86","86","86","0.9373246431350708","0.9373246431350708","0.9373246431350708","86","86","86","0.8576186299324036","0.8576186299324036","0.8576186299324036"
"44","88","88","88","0.9707061052322388","0.9707061052322388","0.9707061052322388","88","88","88","0.9377123117446899","0.9377123117446899","0.9377123117446899","88","88","88","0.8704057931900024","0.8704057931900024","0.8704057931900024"
"45","90","90","90","0.9702480435371399","0.9702480435371399","0.9702480435371399","90","90","90","0.9417173862457275","0.9417173862457275","0.9417173862457275","90","90","90","0.886091947555542","0.886091947555542","0.886091947555542"
"46","92","92","92","0.9670942425727844","0.9670942425727844","0.9670942425727844","92","92","92","0.9444435834884644","0.9444435834884644","0.9444435834884644","92","92","92","0.8459909558296204","0.8459909558296204","0.8459909558296204"
"47","94","94","94","0.9642783999443054","0.9642783999443054","0.9642783999443054","94","94","94","0.9365041255950928","0.9365041255950928","0.9365041255950928","94","94","94","0.8808627128601074","0.8808627128601074","0.8808627128601074"
"48","96","96","96","0.9641942381858826","0.9641942381858826","0.9641942381858826","96","96","96","0.9371589422225952","0.9371589422225952","0.9371589422225952","96","96","96","0.87703537940979","0.87703537940979","0.87703537940979"
"49","98","98","98","0.9771559238433838","0.9771559238433838","0.9771559238433838","98","98","98","0.935030460357666","0.935030460357666","0.935030460357666","98","98","98","0.8891502618789673","0.8891502618789673","0.8891502618789673"
"50","100","100","100","0.9734833240509033","0.9734833240509033","0.9734833240509033","100","100","100","0.9217740893363953","0.9217740893363953","0.9217740893363953","100","100","100","0.9025156497955322","0.9025156497955322","0.9025156497955322"
"51","102","102","102","0.978818416595459","0.978818416595459","0.978818416595459","102","102","102","0.9409880042076111","0.9409880042076111","0.9409880042076111","102","102","102","0.8788139224052429","0.8788139224052429","0.8788139224052429"
"52","104","104","104","0.9779216051101685","0.9779216051101685","0.9779216051101685","104","104","104","0.9435337781906128","0.9435337781906128","0.9435337781906128","104","104","104","0.8932715058326721","0.8932715058326721","0.8932715058326721"
"53","106","106","106","0.9778816103935242","0.9778816103935242","0.9778816103935242","106","106","106","0.9295495748519897","0.9295495748519897","0.9295495748519897","106","106","106","0.8790087699890137","0.8790087699890137","0.8790087699890137"
"54","108","108","108","0.9249738454818726","0.9249738454818726","0.9249738454818726","108","108","108","0.9555824995040894","0.9555824995040894","0.9555824995040894","108","108","108","0.8785844445228577","0.8785844445228577","0.8785844445228577"
"55","110","110","110","0.9621882438659668","0.9621882438659668","0.9621882438659668","110","110","110","0.9608298540115356","0.9608298540115356","0.9608298540115356","110","110","110","0.8918087482452393","0.8918087482452393","0.8918087482452393"
"56","112","112","112","0.9794723391532898","0.9794723391532898","0.9794723391532898","112","112","112","0.9402589797973633","0.9402589797973633","0.9402589797973633","112","112","112","0.8932114839553833","0.8932114839553833","0.8932114839553833"
"57","114","114","114","0.968519389629364","0.968519389629364","0.968519389629364","114","114","114","0.9502893686294556","0.9502893686294556","0.9502893686294556","114","114","114","0.913703203201294","0.913703203201294","0.913703203201294"
"58","116","116","116","0.9765461087226868","0.9765461087226868","0.9765461087226868","116","116","116","0.9442599415779114","0.9442599415779114","0.9442599415779114","116","116","116","0.899885892868042","0.899885892868042","0.899885892868042"
"59","118","118","118","0.9588453769683838","0.9588453769683838","0.9588453769683838","118","118","118","0.9285476803779602","0.9285476803779602","0.9285476803779602","118","118","118","0.8969155550003052","0.8969155550003052","0.8969155550003052"
"60","120","120","120","0.9783410429954529","0.9783410429954529","0.9783410429954529","120","120","120","0.9492763876914978","0.9492763876914978","0.9492763876914978","120","120","120","0.8930195569992065","0.8930195569992065","0.8930195569992065"
"61","122","122","122","0.9746518731117249","0.9746518731117249","0.9746518731117249","122","122","122","0.9603232145309448","0.9603232145309448","0.9603232145309448","122","122","122","0.9094010591506958","0.9094010591506958","0.9094010591506958"
"62","124","124","124","0.9804794788360596","0.9804794788360596","0.9804794788360596","124","124","124","0.951102614402771","0.951102614402771","0.951102614402771","124","124","124","0.8252652287483215","0.8252652287483215","0.8252652287483215"
"63","126","126","126","0.9763750433921814","0.9763750433921814","0.9763750433921814","126","126","126","0.9369043111801147","0.9369043111801147","0.9369043111801147","126","126","126","0.8607921600341797","0.8607921600341797","0.8607921600341797"
"64","128","128","128","0.9814010858535767","0.9814010858535767","0.9814010858535767","128","128","128","0.937146782875061","0.937146782875061","0.937146782875061","128","128","128","0.8805219531059265","0.8805219531059265","0.8805219531059265"
"65","130","130","130","0.96209716796875","0.96209716796875","0.96209716796875","130","130","130","0.9518779516220093","0.9518779516220093","0.9518779516220093","130","130","130","0.8586485385894775","0.8586485385894775","0.8586485385894775"
"66","132","132","132","0.9155908823013306","0.9155908823013306","0.9155908823013306","132","132","132","0.9508784413337708","0.9508784413337708","0.9508784413337708","132","132","132","0.8754976987838745","0.8754976987838745","0.8754976987838745"
"67","134","134","134","0.943856954574585","0.943856954574585","0.943856954574585","134","134","134","0.9585478901863098","0.9585478901863098","0.9585478901863098","134","134","134","0.887347400188446","0.887347400188446","0.887347400188446"
"68","136","136","136","0.9767434000968933","0.9767434000968933","0.9767434000968933","136","136","136","0.8615928888320923","0.8615928888320923","0.8615928888320923","136","136","136","0.8892844915390015","0.8892844915390015","0.8892844915390015"
"69","138","138","138","0.9745194315910339","0.9745194315910339","0.9745194315910339","138","138","138","0.8972846269607544","0.8972846269607544","0.8972846269607544","138","138","138","0.8744094371795654","0.8744094371795654","0.8744094371795654"
"70","140","140","140","0.9727921485900879","0.9727921485900879","0.9727921485900879","140","140","140","0.9278424382209778","0.9278424382209778","0.9278424382209778","140","140","140","0.921876072883606","0.921876072883606","0.921876072883606"
"71","142","142","142","0.9770055413246155","0.9770055413246155","0.9770055413246155","142","142","142","0.9153962135314941","0.9153962135314941","0.9153962135314941","142","142","142","0.9258890748023987","0.9258890748023987","0.9258890748023987"
"72","144","144","144","0.9815914630889893","0.9815914630889893","0.9815914630889893","144","144","144","0.9353250861167908","0.9353250861167908","0.9353250861167908","144","144","144","0.9135425090789795","0.9135425090789795","0.9135425090789795"
"73","146","146","146","0.9797800183296204","0.9797800183296204","0.9797800183296204","146","146","146","0.9365715980529785","0.9365715980529785","0.9365715980529785","146","146","146","0.879095196723938","0.879095196723938","0.879095196723938"
"74","148","148","148","0.9828552007675171","0.9828552007675171","0.9828552007675171","148","148","148","0.9554175734519958","0.9554175734519958","0.9554175734519958","148","148","148","0.9165266752243042","0.9165266752243042","0.9165266752243042"
"75","150","150","150","0.9796765446662903","0.9796765446662903","0.9796765446662903","150","150","150","0.9515914916992188","0.9515914916992188","0.9515914916992188","150","150","150","0.9108705520629883","0.9108705520629883","0.9108705520629883"
"76","152","152","152","0.9804188013076782","0.9804188013076782","0.9804188013076782","152","152","152","0.958796501159668","0.958796501159668","0.958796501159668","152","152","152","0.8898135423660278","0.8898135423660278","0.8898135423660278"
"77","154","154","154","0.978992223739624","0.978992223739624","0.978992223739624","154","154","154","0.9451016783714294","0.9451016783714294","0.9451016783714294","154","154","154","0.8835278749465942","0.8835278749465942","0.8835278749465942"
"78","156","156","156","0.8406819701194763","0.8406819701194763","0.8406819701194763","156","156","156","0.8987216949462891","0.8987216949462891","0.8987216949462891","156","156","156","0.8962900042533875","0.8962900042533875","0.8962900042533875"
"79","158","158","158","0.8904994130134583","0.8904994130134583","0.8904994130134583","158","158","158","0.9352315664291382","0.9352315664291382","0.9352315664291382","158","158","158","0.8908358812332153","0.8908358812332153","0.8908358812332153"
"80","160","160","160","0.9331619739532471","0.9331619739532471","0.9331619739532471","160","160","160","0.9438556432723999","0.9438556432723999","0.9438556432723999","160","160","160","0.9146196842193604","0.9146196842193604","0.9146196842193604"
"81","162","162","162","0.9484373331069946","0.9484373331069946","0.9484373331069946","162","162","162","0.9606373310089111","0.9606373310089111","0.9606373310089111","162","162","162","0.9097477197647095","0.9097477197647095","0.9097477197647095"
"82","164","164","164","0.935583233833313","0.935583233833313","0.935583233833313","164","164","164","0.9532094597816467","0.9532094597816467","0.9532094597816467","164","164","164","0.9229261875152588","0.9229261875152588","0.9229261875152588"
"83","166","166","166","0.9669493436813354","0.9669493436813354","0.9669493436813354","166","166","166","0.9575240612030029","0.9575240612030029","0.9575240612030029","166","166","166","0.9080518484115601","0.9080518484115601","0.9080518484115601"
"84","168","168","168","0.9682338237762451","0.9682338237762451","0.9682338237762451","168","168","168","0.9667986631393433","0.9667986631393433","0.9667986631393433","168","168","168","0.9024113416671753","0.9024113416671753","0.9024113416671753"
"85","170","170","170","0.9785493612289429","0.9785493612289429","0.9785493612289429","170","170","170","0.9612476825714111","0.9612476825714111","0.9612476825714111","170","170","170","0.9059255123138428","0.9059255123138428","0.9059255123138428"
"86","172","172","172","0.9717215299606323","0.9717215299606323","0.9717215299606323","172","172","172","0.9555028676986694","0.9555028676986694","0.9555028676986694","172","172","172","0.9129261374473572","0.9129261374473572","0.9129261374473572"
"87","174","174","174","0.969545841217041","0.969545841217041","0.969545841217041","174","174","174","0.9652484655380249","0.9652484655380249","0.9652484655380249","174","174","174","0.9232499003410339","0.9232499003410339","0.9232499003410339"
"88","176","176","176","0.9839589595794678","0.9839589595794678","0.9839589595794678","176","176","176","0.9365984797477722","0.9365984797477722","0.9365984797477722","176","176","176","0.9197425842285156","0.9197425842285156","0.9197425842285156"
"89","178","178","178","0.9797772169113159","0.9797772169113159","0.9797772169113159","178","178","178","0.9641340374946594","0.9641340374946594","0.9641340374946594","178","178","178","0.928709864616394","0.928709864616394","0.928709864616394"
"90","180","180","180","0.9763502478599548","0.9763502478599548","0.9763502478599548","180","180","180","0.9637700319290161","0.9637700319290161","0.9637700319290161","180","180","180","0.9355091452598572","0.9355091452598572","0.9355091452598572"
"91","182","182","182","0.9464989304542542","0.9464989304542542","0.9464989304542542","182","182","182","0.9661934971809387","0.9661934971809387","0.9661934971809387","182","182","182","0.9118249416351318","0.9118249416351318","0.9118249416351318"
"92","184","184","184","0.9783686399459839","0.9783686399459839","0.9783686399459839","184","184","184","0.9670591950416565","0.9670591950416565","0.9670591950416565","184","184","184","0.9226516485214233","0.9226516485214233","0.9226516485214233"
"93","186","186","186","0.9806671142578125","0.9806671142578125","0.9806671142578125","186","186","186","0.9680278301239014","0.9680278301239014","0.9680278301239014","186","186","186","0.9270336627960205","0.9270336627960205","0.9270336627960205"
"94","188","188","188","0.9833256602287292","0.9833256602287292","0.9833256602287292","188","188","188","0.9676893353462219","0.9676893353462219","0.9676893353462219","188","188","188","0.9073357582092285","0.9073357582092285","0.9073357582092285"
"95","190","190","190","0.9810768365859985","0.9810768365859985","0.9810768365859985","190","190","190","0.9557271599769592","0.9557271599769592","0.9557271599769592","190","190","190","0.9366843700408936","0.9366843700408936","0.9366843700408936"
"96","192","192","192","0.9838416576385498","0.9838416576385498","0.9838416576385498","192","192","192","0.9587059020996094","0.9587059020996094","0.9587059020996094","192","192","192","0.9182851910591125","0.9182851910591125","0.9182851910591125"
"97","194","194","194","0.9789053201675415","0.9789053201675415","0.9789053201675415","194","194","194","0.9663926959037781","0.9663926959037781","0.9663926959037781","194","194","194","0.9211413860321045","0.9211413860321045","0.9211413860321045"
"98","196","196","196","0.9819363951683044","0.9819363951683044","0.9819363951683044","196","196","196","0.9566842913627625","0.9566842913627625","0.9566842913627625","196","196","196","0.9097892642021179","0.9097892642021179","0.9097892642021179"
"99","198","198","198","0.9813045263290405","0.9813045263290405","0.9813045263290405","198","198","198","0.9631106853485107","0.9631106853485107","0.9631106853485107","198","198","198","0.8997102975845337","0.8997102975845337","0.8997102975845337"