"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - total_pur","1_1_w=0.6 - total_pur__MIN","1_1_w=0.6 - total_pur__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - total_pur","1_4_w=0.6 - total_pur__MIN","1_4_w=0.6 - total_pur__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - total_pur","2_4_w=0.6 - total_pur__MIN","2_4_w=0.6 - total_pur__MAX"
"0","0","0","0","0.0560116283595562","0.0560116283595562","0.0560116283595562","0","0","0","0.04397968575358391","0.04397968575358391","0.04397968575358391","0","0","0","0.04626055806875229","0.04626055806875229","0.04626055806875229"
"1","2","2","2","0.07477238774299622","0.07477238774299622","0.07477238774299622","2","2","2","0.05248190462589264","0.05248190462589264","0.05248190462589264","2","2","2","0.05099957436323166","0.05099957436323166","0.05099957436323166"
"2","4","4","4","0.058204859495162964","0.058204859495162964","0.058204859495162964","4","4","4","0.05740278586745262","0.05740278586745262","0.05740278586745262","4","4","4","0.05817780643701553","0.05817780643701553","0.05817780643701553"
"3","6","6","6","0.10425394773483276","0.10425394773483276","0.10425394773483276","6","6","6","0.09908883273601532","0.09908883273601532","0.09908883273601532","6","6","6","0.04281646013259888","0.04281646013259888","0.04281646013259888"
"4","8","8","8","0.11842162162065506","0.11842162162065506","0.11842162162065506","8","8","8","0.07217539846897125","0.07217539846897125","0.07217539846897125","8","8","8","0.05508914217352867","0.05508914217352867","0.05508914217352867"
"5","10","10","10","0.12369956821203232","0.12369956821203232","0.12369956821203232","10","10","10","0.0540977343916893","0.0540977343916893","0.0540977343916893","10","10","10","0.048799097537994385","0.048799097537994385","0.048799097537994385"
"6","12","12","12","0.1395971029996872","0.1395971029996872","0.1395971029996872","12","12","12","0.06235427036881447","0.06235427036881447","0.06235427036881447","12","12","12","0.052965063601732254","0.052965063601732254","0.052965063601732254"
"7","14","14","14","0.13804559409618378","0.13804559409618378","0.13804559409618378","14","14","14","0.061065640300512314","0.061065640300512314","0.061065640300512314","14","14","14","0.05542082339525223","0.05542082339525223","0.05542082339525223"
"8","16","16","16","0.1633772999048233","0.1633772999048233","0.1633772999048233","16","16","16","0.06554512679576874","0.06554512679576874","0.06554512679576874","16","16","16","0.041345253586769104","0.041345253586769104","0.041345253586769104"
"9","18","18","18","0.11302352696657181","0.11302352696657181","0.11302352696657181","18","18","18","0.0709528848528862","0.0709528848528862","0.0709528848528862","18","18","18","0.07116767019033432","0.07116767019033432","0.07116767019033432"
"10","20","20","20","0.2047356814146042","0.2047356814146042","0.2047356814146042","20","20","20","0.07519517838954926","0.07519517838954926","0.07519517838954926","20","20","20","0.06069324165582657","0.06069324165582657","0.06069324165582657"
"11","22","22","22","0.18154339492321014","0.18154339492321014","0.18154339492321014","22","22","22","0.08402062952518463","0.08402062952518463","0.08402062952518463","22","22","22","0.06394844502210617","0.06394844502210617","0.06394844502210617"
"12","24","24","24","0.17674821615219116","0.17674821615219116","0.17674821615219116","24","24","24","0.10569041967391968","0.10569041967391968","0.10569041967391968","24","24","24","0.06578713655471802","0.06578713655471802","0.06578713655471802"
"13","26","26","26","0.22250209748744965","0.22250209748744965","0.22250209748744965","26","26","26","0.10819341242313385","0.10819341242313385","0.10819341242313385","26","26","26","0.056924156844615936","0.056924156844615936","0.056924156844615936"
"14","28","28","28","0.2098115086555481","0.2098115086555481","0.2098115086555481","28","28","28","0.11308079957962036","0.11308079957962036","0.11308079957962036","28","28","28","0.06551088392734528","0.06551088392734528","0.06551088392734528"
"15","30","30","30","0.1896689534187317","0.1896689534187317","0.1896689534187317","30","30","30","0.11709719896316528","0.11709719896316528","0.11709719896316528","30","30","30","0.0647231936454773","0.0647231936454773","0.0647231936454773"
"16","32","32","32","0.19999152421951294","0.19999152421951294","0.19999152421951294","32","32","32","0.15753105282783508","0.15753105282783508","0.15753105282783508","32","32","32","0.07609856128692627","0.07609856128692627","0.07609856128692627"
"17","34","34","34","0.2285233736038208","0.2285233736038208","0.2285233736038208","34","34","34","0.1528516709804535","0.1528516709804535","0.1528516709804535","34","34","34","0.08873357623815536","0.08873357623815536","0.08873357623815536"
"18","36","36","36","0.25014764070510864","0.25014764070510864","0.25014764070510864","36","36","36","0.1552419364452362","0.1552419364452362","0.1552419364452362","36","36","36","0.08929187804460526","0.08929187804460526","0.08929187804460526"
"19","38","38","38","0.2647818624973297","0.2647818624973297","0.2647818624973297","38","38","38","0.15086428821086884","0.15086428821086884","0.15086428821086884","38","38","38","0.08316396176815033","0.08316396176815033","0.08316396176815033"
"20","40","40","40","0.27834802865982056","0.27834802865982056","0.27834802865982056","40","40","40","0.16983777284622192","0.16983777284622192","0.16983777284622192","40","40","40","0.086793914437294","0.086793914437294","0.086793914437294"
"21","42","42","42","0.27175426483154297","0.27175426483154297","0.27175426483154297","42","42","42","0.16069376468658447","0.16069376468658447","0.16069376468658447","42","42","42","0.09281060844659805","0.09281060844659805","0.09281060844659805"
"22","44","44","44","0.2882538437843323","0.2882538437843323","0.2882538437843323","44","44","44","0.17363755404949188","0.17363755404949188","0.17363755404949188","44","44","44","0.07331264764070511","0.07331264764070511","0.07331264764070511"
"23","46","46","46","0.25360316038131714","0.25360316038131714","0.25360316038131714","46","46","46","0.1727164089679718","0.1727164089679718","0.1727164089679718","46","46","46","0.09526344388723373","0.09526344388723373","0.09526344388723373"
"24","48","48","48","0.28056609630584717","0.28056609630584717","0.28056609630584717","48","48","48","0.16947892308235168","0.16947892308235168","0.16947892308235168","48","48","48","0.09757378697395325","0.09757378697395325","0.09757378697395325"
"25","50","50","50","0.28531354665756226","0.28531354665756226","0.28531354665756226","50","50","50","0.16836458444595337","0.16836458444595337","0.16836458444595337","50","50","50","0.07386147975921631","0.07386147975921631","0.07386147975921631"
"26","52","52","52","0.2984609007835388","0.2984609007835388","0.2984609007835388","52","52","52","0.178828626871109","0.178828626871109","0.178828626871109","52","52","52","0.09824620187282562","0.09824620187282562","0.09824620187282562"
"27","54","54","54","0.26044028997421265","0.26044028997421265","0.26044028997421265","54","54","54","0.19078727066516876","0.19078727066516876","0.19078727066516876","54","54","54","0.11181297898292542","0.11181297898292542","0.11181297898292542"
"28","56","56","56","0.30371585488319397","0.30371585488319397","0.30371585488319397","56","56","56","0.1782752126455307","0.1782752126455307","0.1782752126455307","56","56","56","0.11025892198085785","0.11025892198085785","0.11025892198085785"
"29","58","58","58","0.30114874243736267","0.30114874243736267","0.30114874243736267","58","58","58","0.1806844174861908","0.1806844174861908","0.1806844174861908","58","58","58","0.10958606004714966","0.10958606004714966","0.10958606004714966"
"30","60","60","60","0.27067139744758606","0.27067139744758606","0.27067139744758606","60","60","60","0.2054394781589508","0.2054394781589508","0.2054394781589508","60","60","60","0.13189081847667694","0.13189081847667694","0.13189081847667694"
"31","62","62","62","0.26328185200691223","0.26328185200691223","0.26328185200691223","62","62","62","0.19544696807861328","0.19544696807861328","0.19544696807861328","62","62","62","0.12673507630825043","0.12673507630825043","0.12673507630825043"
"32","64","64","64","0.31898248195648193","0.31898248195648193","0.31898248195648193","64","64","64","0.19343259930610657","0.19343259930610657","0.19343259930610657","64","64","64","0.12385018169879913","0.12385018169879913","0.12385018169879913"
"33","66","66","66","0.30009227991104126","0.30009227991104126","0.30009227991104126","66","66","66","0.18851585686206818","0.18851585686206818","0.18851585686206818","66","66","66","0.1116747334599495","0.1116747334599495","0.1116747334599495"
"34","68","68","68","0.3225266635417938","0.3225266635417938","0.3225266635417938","68","68","68","0.1461585909128189","0.1461585909128189","0.1461585909128189","68","68","68","0.12514548003673553","0.12514548003673553","0.12514548003673553"
"35","70","70","70","0.34010815620422363","0.34010815620422363","0.34010815620422363","70","70","70","0.2163788080215454","0.2163788080215454","0.2163788080215454","70","70","70","0.1407768726348877","0.1407768726348877","0.1407768726348877"
"36","72","72","72","0.3423912525177002","0.3423912525177002","0.3423912525177002","72","72","72","0.19876959919929504","0.19876959919929504","0.19876959919929504","72","72","72","0.12371458858251572","0.12371458858251572","0.12371458858251572"
"37","74","74","74","0.2179967761039734","0.2179967761039734","0.2179967761039734","74","74","74","0.20631355047225952","0.20631355047225952","0.20631355047225952","74","74","74","0.12095194309949875","0.12095194309949875","0.12095194309949875"
"38","76","76","76","0.28373026847839355","0.28373026847839355","0.28373026847839355","76","76","76","0.2192080169916153","0.2192080169916153","0.2192080169916153","76","76","76","0.1295534074306488","0.1295534074306488","0.1295534074306488"
"39","78","78","78","0.3514001667499542","0.3514001667499542","0.3514001667499542","78","78","78","0.1544167697429657","0.1544167697429657","0.1544167697429657","78","78","78","0.10052250325679779","0.10052250325679779","0.10052250325679779"
"40","80","80","80","0.37597647309303284","0.37597647309303284","0.37597647309303284","80","80","80","0.20760124921798706","0.20760124921798706","0.20760124921798706","80","80","80","0.12312091886997223","0.12312091886997223","0.12312091886997223"
"41","82","82","82","0.34928062558174133","0.34928062558174133","0.34928062558174133","82","82","82","0.17769846320152283","0.17769846320152283","0.17769846320152283","82","82","82","0.1285082995891571","0.1285082995891571","0.1285082995891571"
"42","84","84","84","0.3883792757987976","0.3883792757987976","0.3883792757987976","84","84","84","0.22035928070545197","0.22035928070545197","0.22035928070545197","84","84","84","0.1456497311592102","0.1456497311592102","0.1456497311592102"
"43","86","86","86","0.41725707054138184","0.41725707054138184","0.41725707054138184","86","86","86","0.23063547909259796","0.23063547909259796","0.23063547909259796","86","86","86","0.14451083540916443","0.14451083540916443","0.14451083540916443"
"44","88","88","88","0.3577188551425934","0.3577188551425934","0.3577188551425934","88","88","88","0.23768655955791473","0.23768655955791473","0.23768655955791473","88","88","88","0.14203929901123047","0.14203929901123047","0.14203929901123047"
"45","90","90","90","0.38712090253829956","0.38712090253829956","0.38712090253829956","90","90","90","0.1722537875175476","0.1722537875175476","0.1722537875175476","90","90","90","0.1365785002708435","0.1365785002708435","0.1365785002708435"
"46","92","92","92","0.43240976333618164","0.43240976333618164","0.43240976333618164","92","92","92","0.2334412932395935","0.2334412932395935","0.2334412932395935","92","92","92","0.13664864003658295","0.13664864003658295","0.13664864003658295"
"47","94","94","94","0.4049510657787323","0.4049510657787323","0.4049510657787323","94","94","94","0.2637273371219635","0.2637273371219635","0.2637273371219635","94","94","94","0.13765943050384521","0.13765943050384521","0.13765943050384521"
"48","96","96","96","0.4374299645423889","0.4374299645423889","0.4374299645423889","96","96","96","0.26088443398475647","0.26088443398475647","0.26088443398475647","96","96","96","0.14823687076568604","0.14823687076568604","0.14823687076568604"
"49","98","98","98","0.36254334449768066","0.36254334449768066","0.36254334449768066","98","98","98","0.2568262815475464","0.2568262815475464","0.2568262815475464","98","98","98","0.1452859342098236","0.1452859342098236","0.1452859342098236"
"50","100","100","100","0.43588948249816895","0.43588948249816895","0.43588948249816895","100","100","100","0.19938895106315613","0.19938895106315613","0.19938895106315613","100","100","100","0.12124717235565186","0.12124717235565186","0.12124717235565186"
"51","102","102","102","0.40049540996551514","0.40049540996551514","0.40049540996551514","102","102","102","0.2575300931930542","0.2575300931930542","0.2575300931930542","102","102","102","0.15333306789398193","0.15333306789398193","0.15333306789398193"
"52","104","104","104","0.3810318410396576","0.3810318410396576","0.3810318410396576","104","104","104","0.2593848705291748","0.2593848705291748","0.2593848705291748","104","104","104","0.1510988026857376","0.1510988026857376","0.1510988026857376"
"53","106","106","106","0.3860999643802643","0.3860999643802643","0.3860999643802643","106","106","106","0.27604591846466064","0.27604591846466064","0.27604591846466064","106","106","106","0.16317126154899597","0.16317126154899597","0.16317126154899597"
"54","108","108","108","0.3415124714374542","0.3415124714374542","0.3415124714374542","108","108","108","0.26380595564842224","0.26380595564842224","0.26380595564842224","108","108","108","0.16474205255508423","0.16474205255508423","0.16474205255508423"
"55","110","110","110","0.4170897901058197","0.4170897901058197","0.4170897901058197","110","110","110","0.26080408692359924","0.26080408692359924","0.26080408692359924","110","110","110","0.16338641941547394","0.16338641941547394","0.16338641941547394"
"56","112","112","112","0.4005224108695984","0.4005224108695984","0.4005224108695984","112","112","112","0.28714966773986816","0.28714966773986816","0.28714966773986816","112","112","112","0.15677745640277863","0.15677745640277863","0.15677745640277863"
"57","114","114","114","0.4964706599712372","0.4964706599712372","0.4964706599712372","114","114","114","0.2781464457511902","0.2781464457511902","0.2781464457511902","114","114","114","0.14946699142456055","0.14946699142456055","0.14946699142456055"
"58","116","116","116","0.43110212683677673","0.43110212683677673","0.43110212683677673","116","116","116","0.28940674662590027","0.28940674662590027","0.28940674662590027","116","116","116","0.1665235161781311","0.1665235161781311","0.1665235161781311"
"59","118","118","118","0.31741443276405334","0.31741443276405334","0.31741443276405334","118","118","118","0.25569605827331543","0.25569605827331543","0.25569605827331543","118","118","118","0.16696703433990479","0.16696703433990479","0.16696703433990479"
"60","120","120","120","0.474775493144989","0.474775493144989","0.474775493144989","120","120","120","0.30468159914016724","0.30468159914016724","0.30468159914016724","120","120","120","0.1816045045852661","0.1816045045852661","0.1816045045852661"
"61","122","122","122","0.43975356221199036","0.43975356221199036","0.43975356221199036","122","122","122","0.2948756217956543","0.2948756217956543","0.2948756217956543","122","122","122","0.17359423637390137","0.17359423637390137","0.17359423637390137"
"62","124","124","124","0.4613998234272003","0.4613998234272003","0.4613998234272003","124","124","124","0.2990332245826721","0.2990332245826721","0.2990332245826721","124","124","124","0.11286504566669464","0.11286504566669464","0.11286504566669464"
"63","126","126","126","0.5044611692428589","0.5044611692428589","0.5044611692428589","126","126","126","0.3050726652145386","0.3050726652145386","0.3050726652145386","126","126","126","0.13057798147201538","0.13057798147201538","0.13057798147201538"
"64","128","128","128","0.4798892140388489","0.4798892140388489","0.4798892140388489","128","128","128","0.29638081789016724","0.29638081789016724","0.29638081789016724","128","128","128","0.13888120651245117","0.13888120651245117","0.13888120651245117"
"65","130","130","130","0.35412126779556274","0.35412126779556274","0.35412126779556274","130","130","130","0.32691454887390137","0.32691454887390137","0.32691454887390137","130","130","130","0.1679452657699585","0.1679452657699585","0.1679452657699585"
"66","132","132","132","0.23349487781524658","0.23349487781524658","0.23349487781524658","132","132","132","0.30841678380966187","0.30841678380966187","0.30841678380966187","132","132","132","0.1670190393924713","0.1670190393924713","0.1670190393924713"
"67","134","134","134","0.363888144493103","0.363888144493103","0.363888144493103","134","134","134","0.3317203223705292","0.3317203223705292","0.3317203223705292","134","134","134","0.16687718033790588","0.16687718033790588","0.16687718033790588"
"68","136","136","136","0.4474368989467621","0.4474368989467621","0.4474368989467621","136","136","136","0.12433609366416931","0.12433609366416931","0.12433609366416931","136","136","136","0.17465746402740479","0.17465746402740479","0.17465746402740479"
"69","138","138","138","0.49054819345474243","0.49054819345474243","0.49054819345474243","138","138","138","0.20710286498069763","0.20710286498069763","0.20710286498069763","138","138","138","0.1966247260570526","0.1966247260570526","0.1966247260570526"
"70","140","140","140","0.5308185815811157","0.5308185815811157","0.5308185815811157","140","140","140","0.22537332773208618","0.22537332773208618","0.22537332773208618","140","140","140","0.15747219324111938","0.15747219324111938","0.15747219324111938"
"71","142","142","142","0.5085339546203613","0.5085339546203613","0.5085339546203613","142","142","142","0.15115685760974884","0.15115685760974884","0.15115685760974884","142","142","142","0.15826047956943512","0.15826047956943512","0.15826047956943512"
"72","144","144","144","0.49280038475990295","0.49280038475990295","0.49280038475990295","144","144","144","0.23275834321975708","0.23275834321975708","0.23275834321975708","144","144","144","0.17171169817447662","0.17171169817447662","0.17171169817447662"
"73","146","146","146","0.5121272802352905","0.5121272802352905","0.5121272802352905","146","146","146","0.2966175675392151","0.2966175675392151","0.2966175675392151","146","146","146","0.18655678629875183","0.18655678629875183","0.18655678629875183"
"74","148","148","148","0.5061222910881042","0.5061222910881042","0.5061222910881042","148","148","148","0.25420844554901123","0.25420844554901123","0.25420844554901123","148","148","148","0.1731911301612854","0.1731911301612854","0.1731911301612854"
"75","150","150","150","0.5330690741539001","0.5330690741539001","0.5330690741539001","150","150","150","0.29964369535446167","0.29964369535446167","0.29964369535446167","150","150","150","0.18803533911705017","0.18803533911705017","0.18803533911705017"
"76","152","152","152","0.5305503606796265","0.5305503606796265","0.5305503606796265","152","152","152","0.29901838302612305","0.29901838302612305","0.29901838302612305","152","152","152","0.13773125410079956","0.13773125410079956","0.13773125410079956"
"77","154","154","154","0.4857120215892792","0.4857120215892792","0.4857120215892792","154","154","154","0.3389776647090912","0.3389776647090912","0.3389776647090912","154","154","154","0.17715275287628174","0.17715275287628174","0.17715275287628174"
"78","156","156","156","0.2658033072948456","0.2658033072948456","0.2658033072948456","156","156","156","0.23330795764923096","0.23330795764923096","0.23330795764923096","156","156","156","0.18657393753528595","0.18657393753528595","0.18657393753528595"
"79","158","158","158","0.1739279180765152","0.1739279180765152","0.1739279180765152","158","158","158","0.3043868839740753","0.3043868839740753","0.3043868839740753","158","158","158","0.20673444867134094","0.20673444867134094","0.20673444867134094"
"80","160","160","160","0.32652410864830017","0.32652410864830017","0.32652410864830017","160","160","160","0.3346751928329468","0.3346751928329468","0.3346751928329468","160","160","160","0.19202257692813873","0.19202257692813873","0.19202257692813873"
"81","162","162","162","0.35839471220970154","0.35839471220970154","0.35839471220970154","162","162","162","0.3040461540222168","0.3040461540222168","0.3040461540222168","162","162","162","0.2014409899711609","0.2014409899711609","0.2014409899711609"
"82","164","164","164","0.27345791459083557","0.27345791459083557","0.27345791459083557","164","164","164","0.23477928340435028","0.23477928340435028","0.23477928340435028","164","164","164","0.16649681329727173","0.16649681329727173","0.16649681329727173"
"83","166","166","166","0.43128320574760437","0.43128320574760437","0.43128320574760437","166","166","166","0.30362460017204285","0.30362460017204285","0.30362460017204285","166","166","166","0.14790499210357666","0.14790499210357666","0.14790499210357666"
"84","168","168","168","0.4872193932533264","0.4872193932533264","0.4872193932533264","168","168","168","0.2963961958885193","0.2963961958885193","0.2963961958885193","168","168","168","0.17273417115211487","0.17273417115211487","0.17273417115211487"
"85","170","170","170","0.42416349053382874","0.42416349053382874","0.42416349053382874","170","170","170","0.3270210325717926","0.3270210325717926","0.3270210325717926","170","170","170","0.18924590945243835","0.18924590945243835","0.18924590945243835"
"86","172","172","172","0.49210864305496216","0.49210864305496216","0.49210864305496216","172","172","172","0.3488410711288452","0.3488410711288452","0.3488410711288452","172","172","172","0.1910063624382019","0.1910063624382019","0.1910063624382019"
"87","174","174","174","0.44708654284477234","0.44708654284477234","0.44708654284477234","174","174","174","0.3247026205062866","0.3247026205062866","0.3247026205062866","174","174","174","0.18447904288768768","0.18447904288768768","0.18447904288768768"
"88","176","176","176","0.4327525496482849","0.4327525496482849","0.4327525496482849","176","176","176","0.2641317546367645","0.2641317546367645","0.2641317546367645","176","176","176","0.19503584504127502","0.19503584504127502","0.19503584504127502"
"89","178","178","178","0.49917304515838623","0.49917304515838623","0.49917304515838623","178","178","178","0.30199959874153137","0.30199959874153137","0.30199959874153137","178","178","178","0.18949773907661438","0.18949773907661438","0.18949773907661438"
"90","180","180","180","0.5329049825668335","0.5329049825668335","0.5329049825668335","180","180","180","0.33348390460014343","0.33348390460014343","0.33348390460014343","180","180","180","0.1593046486377716","0.1593046486377716","0.1593046486377716"
"91","182","182","182","0.3372182846069336","0.3372182846069336","0.3372182846069336","182","182","182","0.3347034454345703","0.3347034454345703","0.3347034454345703","182","182","182","0.20543025434017181","0.20543025434017181","0.20543025434017181"
"92","184","184","184","0.5116954445838928","0.5116954445838928","0.5116954445838928","184","184","184","0.30682429671287537","0.30682429671287537","0.30682429671287537","184","184","184","0.2015637904405594","0.2015637904405594","0.2015637904405594"
"93","186","186","186","0.5103130340576172","0.5103130340576172","0.5103130340576172","186","186","186","0.3105801045894623","0.3105801045894623","0.3105801045894623","186","186","186","0.18681642413139343","0.18681642413139343","0.18681642413139343"
"94","188","188","188","0.4714032709598541","0.4714032709598541","0.4714032709598541","188","188","188","0.3356669843196869","0.3356669843196869","0.3356669843196869","188","188","188","0.2277490198612213","0.2277490198612213","0.2277490198612213"
"95","190","190","190","0.4868612587451935","0.4868612587451935","0.4868612587451935","190","190","190","0.19260889291763306","0.19260889291763306","0.19260889291763306","190","190","190","0.19024161994457245","0.19024161994457245","0.19024161994457245"
"96","192","192","192","0.5153912901878357","0.5153912901878357","0.5153912901878357","192","192","192","0.2997511029243469","0.2997511029243469","0.2997511029243469","192","192","192","0.20806322991847992","0.20806322991847992","0.20806322991847992"
"97","194","194","194","0.5296119451522827","0.5296119451522827","0.5296119451522827","194","194","194","0.32665109634399414","0.32665109634399414","0.32665109634399414","194","194","194","0.22147813439369202","0.22147813439369202","0.22147813439369202"
"98","196","196","196","0.5400609970092773","0.5400609970092773","0.5400609970092773","196","196","196","0.38133561611175537","0.38133561611175537","0.38133561611175537","196","196","196","0.2436867207288742","0.2436867207288742","0.2436867207288742"
"99","198","198","198","0.49270716309547424","0.49270716309547424","0.49270716309547424","198","198","198","0.36885079741477966","0.36885079741477966","0.36885079741477966","198","198","198","0.21543128788471222","0.21543128788471222","0.21543128788471222"