"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - train_loss","1_1_w=0.6 - train_loss__MIN","1_1_w=0.6 - train_loss__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - train_loss","1_4_w=0.6 - train_loss__MIN","1_4_w=0.6 - train_loss__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - train_loss","2_4_w=0.6 - train_loss__MIN","2_4_w=0.6 - train_loss__MAX"
"0","1","1","1","1.2955496311187744","1.2955496311187744","1.2955496311187744","1","1","1","1.3260914087295532","1.3260914087295532","1.3260914087295532","1","1","1","1.3422377109527588","1.3422377109527588","1.3422377109527588"
"1","3","3","3","1.2660019397735596","1.2660019397735596","1.2660019397735596","3","3","3","1.2681454420089722","1.2681454420089722","1.2681454420089722","3","3","3","1.3180605173110962","1.3180605173110962","1.3180605173110962"
"2","5","5","5","1.1672269105911255","1.1672269105911255","1.1672269105911255","5","5","5","1.263285517692566","1.263285517692566","1.263285517692566","5","5","5","1.28285813331604","1.28285813331604","1.28285813331604"
"3","7","7","7","1.0746114253997803","1.0746114253997803","1.0746114253997803","7","7","7","1.231390118598938","1.231390118598938","1.231390118598938","7","7","7","1.2703702449798584","1.2703702449798584","1.2703702449798584"
"4","9","9","9","0.932414710521698","0.932414710521698","0.932414710521698","9","9","9","1.2308409214019775","1.2308409214019775","1.2308409214019775","9","9","9","1.259920597076416","1.259920597076416","1.259920597076416"
"5","11","11","11","0.771359920501709","0.771359920501709","0.771359920501709","11","11","11","1.169442057609558","1.169442057609558","1.169442057609558","11","11","11","1.252516508102417","1.252516508102417","1.252516508102417"
"6","13","13","13","0.6876977682113647","0.6876977682113647","0.6876977682113647","13","13","13","1.1434062719345093","1.1434062719345093","1.1434062719345093","13","13","13","1.2535426616668701","1.2535426616668701","1.2535426616668701"
"7","15","15","15","0.6578066945075989","0.6578066945075989","0.6578066945075989","15","15","15","1.1237707138061523","1.1237707138061523","1.1237707138061523","15","15","15","1.2437958717346191","1.2437958717346191","1.2437958717346191"
"8","17","17","17","0.6205618977546692","0.6205618977546692","0.6205618977546692","17","17","17","1.1105396747589111","1.1105396747589111","1.1105396747589111","17","17","17","1.2224476337432861","1.2224476337432861","1.2224476337432861"
"9","19","19","19","0.5878034830093384","0.5878034830093384","0.5878034830093384","19","19","19","1.1005151271820068","1.1005151271820068","1.1005151271820068","19","19","19","1.2336604595184326","1.2336604595184326","1.2336604595184326"
"10","21","21","21","0.5905016660690308","0.5905016660690308","0.5905016660690308","21","21","21","1.0434812307357788","1.0434812307357788","1.0434812307357788","21","21","21","1.1769293546676636","1.1769293546676636","1.1769293546676636"
"11","23","23","23","0.5229982137680054","0.5229982137680054","0.5229982137680054","23","23","23","1.0175973176956177","1.0175973176956177","1.0175973176956177","23","23","23","1.1607301235198975","1.1607301235198975","1.1607301235198975"
"12","25","25","25","0.5734614133834839","0.5734614133834839","0.5734614133834839","25","25","25","0.9394121170043945","0.9394121170043945","0.9394121170043945","25","25","25","1.140685796737671","1.140685796737671","1.140685796737671"
"13","27","27","27","0.5126818418502808","0.5126818418502808","0.5126818418502808","27","27","27","0.8882473707199097","0.8882473707199097","0.8882473707199097","27","27","27","1.1245019435882568","1.1245019435882568","1.1245019435882568"
"14","29","29","29","0.48436588048934937","0.48436588048934937","0.48436588048934937","29","29","29","0.8150894045829773","0.8150894045829773","0.8150894045829773","29","29","29","1.121852159500122","1.121852159500122","1.121852159500122"
"15","31","31","31","0.489959716796875","0.489959716796875","0.489959716796875","31","31","31","0.8528301119804382","0.8528301119804382","0.8528301119804382","31","31","31","1.0936424732208252","1.0936424732208252","1.0936424732208252"
"16","33","33","33","0.4791647493839264","0.4791647493839264","0.4791647493839264","33","33","33","0.73438960313797","0.73438960313797","0.73438960313797","33","33","33","1.0620754957199097","1.0620754957199097","1.0620754957199097"
"17","35","35","35","0.4385526776313782","0.4385526776313782","0.4385526776313782","35","35","35","0.7116897106170654","0.7116897106170654","0.7116897106170654","35","35","35","1.0205457210540771","1.0205457210540771","1.0205457210540771"
"18","37","37","37","0.43119707703590393","0.43119707703590393","0.43119707703590393","37","37","37","0.66563880443573","0.66563880443573","0.66563880443573","37","37","37","0.9978152513504028","0.9978152513504028","0.9978152513504028"
"19","39","39","39","0.4102274477481842","0.4102274477481842","0.4102274477481842","39","39","39","0.6364748477935791","0.6364748477935791","0.6364748477935791","39","39","39","0.9964193105697632","0.9964193105697632","0.9964193105697632"
"20","41","41","41","0.39125633239746094","0.39125633239746094","0.39125633239746094","41","41","41","0.6103625297546387","0.6103625297546387","0.6103625297546387","41","41","41","0.9498552083969116","0.9498552083969116","0.9498552083969116"
"21","43","43","43","0.37061768770217896","0.37061768770217896","0.37061768770217896","43","43","43","0.6056035757064819","0.6056035757064819","0.6056035757064819","43","43","43","0.9150530695915222","0.9150530695915222","0.9150530695915222"
"22","45","45","45","0.36810535192489624","0.36810535192489624","0.36810535192489624","45","45","45","0.5805582404136658","0.5805582404136658","0.5805582404136658","45","45","45","0.9340241551399231","0.9340241551399231","0.9340241551399231"
"23","47","47","47","0.36497509479522705","0.36497509479522705","0.36497509479522705","47","47","47","0.5756994485855103","0.5756994485855103","0.5756994485855103","47","47","47","0.9314031600952148","0.9314031600952148","0.9314031600952148"
"24","49","49","49","0.35146087408065796","0.35146087408065796","0.35146087408065796","49","49","49","0.5651558041572571","0.5651558041572571","0.5651558041572571","49","49","49","0.8674637079238892","0.8674637079238892","0.8674637079238892"
"25","51","51","51","0.34884175658226013","0.34884175658226013","0.34884175658226013","51","51","51","0.5680608749389648","0.5680608749389648","0.5680608749389648","51","51","51","0.8253949880599976","0.8253949880599976","0.8253949880599976"
"26","53","53","53","0.3318968713283539","0.3318968713283539","0.3318968713283539","53","53","53","0.5579485893249512","0.5579485893249512","0.5579485893249512","53","53","53","0.8906221389770508","0.8906221389770508","0.8906221389770508"
"27","55","55","55","0.31714385747909546","0.31714385747909546","0.31714385747909546","55","55","55","0.5392351746559143","0.5392351746559143","0.5392351746559143","55","55","55","0.8181968927383423","0.8181968927383423","0.8181968927383423"
"28","57","57","57","0.31815364956855774","0.31815364956855774","0.31815364956855774","57","57","57","0.5275194048881531","0.5275194048881531","0.5275194048881531","57","57","57","0.7987772226333618","0.7987772226333618","0.7987772226333618"
"29","59","59","59","0.30788886547088623","0.30788886547088623","0.30788886547088623","59","59","59","0.550365686416626","0.550365686416626","0.550365686416626","59","59","59","0.7807402610778809","0.7807402610778809","0.7807402610778809"
"30","61","61","61","0.29861345887184143","0.29861345887184143","0.29861345887184143","61","61","61","0.5042062997817993","0.5042062997817993","0.5042062997817993","61","61","61","0.7596994638442993","0.7596994638442993","0.7596994638442993"
"31","63","63","63","0.28908079862594604","0.28908079862594604","0.28908079862594604","63","63","63","0.5068277716636658","0.5068277716636658","0.5068277716636658","63","63","63","0.7620991468429565","0.7620991468429565","0.7620991468429565"
"32","65","65","65","0.2976027727127075","0.2976027727127075","0.2976027727127075","65","65","65","0.5193435549736023","0.5193435549736023","0.5193435549736023","65","65","65","0.7344048619270325","0.7344048619270325","0.7344048619270325"
"33","67","67","67","0.2725389897823334","0.2725389897823334","0.2725389897823334","67","67","67","0.47954148054122925","0.47954148054122925","0.47954148054122925","67","67","67","0.7991890907287598","0.7991890907287598","0.7991890907287598"
"34","69","69","69","0.26689669489860535","0.26689669489860535","0.26689669489860535","69","69","69","0.4892190098762512","0.4892190098762512","0.4892190098762512","69","69","69","0.7706146240234375","0.7706146240234375","0.7706146240234375"
"35","71","71","71","0.26039251685142517","0.26039251685142517","0.26039251685142517","71","71","71","0.491454541683197","0.491454541683197","0.491454541683197","71","71","71","0.7549431324005127","0.7549431324005127","0.7549431324005127"
"36","73","73","73","0.2633165717124939","0.2633165717124939","0.2633165717124939","73","73","73","0.45865878462791443","0.45865878462791443","0.45865878462791443","73","73","73","0.7489109635353088","0.7489109635353088","0.7489109635353088"
"37","75","75","75","0.30552735924720764","0.30552735924720764","0.30552735924720764","75","75","75","0.4348319470882416","0.4348319470882416","0.4348319470882416","75","75","75","0.7202693223953247","0.7202693223953247","0.7202693223953247"
"38","77","77","77","0.3330070972442627","0.3330070972442627","0.3330070972442627","77","77","77","0.46507835388183594","0.46507835388183594","0.46507835388183594","77","77","77","0.6877557039260864","0.6877557039260864","0.6877557039260864"
"39","79","79","79","0.2640236020088196","0.2640236020088196","0.2640236020088196","79","79","79","0.6472018957138062","0.6472018957138062","0.6472018957138062","79","79","79","0.7098668813705444","0.7098668813705444","0.7098668813705444"
"40","81","81","81","0.2335817813873291","0.2335817813873291","0.2335817813873291","81","81","81","0.5478588342666626","0.5478588342666626","0.5478588342666626","81","81","81","0.7882601618766785","0.7882601618766785","0.7882601618766785"
"41","83","83","83","0.22668953239917755","0.22668953239917755","0.22668953239917755","83","83","83","0.4647037386894226","0.4647037386894226","0.4647037386894226","83","83","83","0.728367269039154","0.728367269039154","0.728367269039154"
"42","85","85","85","0.23432102799415588","0.23432102799415588","0.23432102799415588","85","85","85","0.441582590341568","0.441582590341568","0.441582590341568","85","85","85","0.6940462589263916","0.6940462589263916","0.6940462589263916"
"43","87","87","87","0.23093464970588684","0.23093464970588684","0.23093464970588684","87","87","87","0.42230385541915894","0.42230385541915894","0.42230385541915894","87","87","87","0.6865204572677612","0.6865204572677612","0.6865204572677612"
"44","89","89","89","0.23059110343456268","0.23059110343456268","0.23059110343456268","89","89","89","0.4112686514854431","0.4112686514854431","0.4112686514854431","89","89","89","0.6698055267333984","0.6698055267333984","0.6698055267333984"
"45","91","91","91","0.21452875435352325","0.21452875435352325","0.21452875435352325","91","91","91","0.4042680263519287","0.4042680263519287","0.4042680263519287","91","91","91","0.6586858034133911","0.6586858034133911","0.6586858034133911"
"46","93","93","93","0.2024233639240265","0.2024233639240265","0.2024233639240265","93","93","93","0.42404842376708984","0.42404842376708984","0.42404842376708984","93","93","93","0.7004246115684509","0.7004246115684509","0.7004246115684509"
"47","95","95","95","0.21093228459358215","0.21093228459358215","0.21093228459358215","95","95","95","0.3867693543434143","0.3867693543434143","0.3867693543434143","95","95","95","0.6755446791648865","0.6755446791648865","0.6755446791648865"
"48","97","97","97","0.21838128566741943","0.21838128566741943","0.21838128566741943","97","97","97","0.38818708062171936","0.38818708062171936","0.38818708062171936","97","97","97","0.6479634046554565","0.6479634046554565","0.6479634046554565"
"49","99","99","99","0.2001570761203766","0.2001570761203766","0.2001570761203766","99","99","99","0.38786521553993225","0.38786521553993225","0.38786521553993225","99","99","99","0.6308420300483704","0.6308420300483704","0.6308420300483704"
"50","101","101","101","0.18182747066020966","0.18182747066020966","0.18182747066020966","101","101","101","0.3989393711090088","0.3989393711090088","0.3989393711090088","101","101","101","0.6240131258964539","0.6240131258964539","0.6240131258964539"
"51","103","103","103","0.19391915202140808","0.19391915202140808","0.19391915202140808","103","103","103","0.41560134291648865","0.41560134291648865","0.41560134291648865","103","103","103","0.6429657936096191","0.6429657936096191","0.6429657936096191"
"52","105","105","105","0.18898728489875793","0.18898728489875793","0.18898728489875793","105","105","105","0.3787771165370941","0.3787771165370941","0.3787771165370941","105","105","105","0.616848349571228","0.616848349571228","0.616848349571228"
"53","107","107","107","0.175704687833786","0.175704687833786","0.175704687833786","107","107","107","0.3589004874229431","0.3589004874229431","0.3589004874229431","107","107","107","0.6051310300827026","0.6051310300827026","0.6051310300827026"
"54","109","109","109","0.2779097259044647","0.2779097259044647","0.2779097259044647","109","109","109","0.34863388538360596","0.34863388538360596","0.34863388538360596","109","109","109","0.6045101881027222","0.6045101881027222","0.6045101881027222"
"55","111","111","111","0.2552429437637329","0.2552429437637329","0.2552429437637329","111","111","111","0.33278948068618774","0.33278948068618774","0.33278948068618774","111","111","111","0.6048227548599243","0.6048227548599243","0.6048227548599243"
"56","113","113","113","0.1906319409608841","0.1906319409608841","0.1906319409608841","113","113","113","0.3371550440788269","0.3371550440788269","0.3371550440788269","113","113","113","0.5970942378044128","0.5970942378044128","0.5970942378044128"
"57","115","115","115","0.1683003008365631","0.1683003008365631","0.1683003008365631","115","115","115","0.3269835114479065","0.3269835114479065","0.3269835114479065","115","115","115","0.5911978483200073","0.5911978483200073","0.5911978483200073"
"58","117","117","117","0.16334174573421478","0.16334174573421478","0.16334174573421478","117","117","117","0.35759422183036804","0.35759422183036804","0.35759422183036804","117","117","117","0.5877398252487183","0.5877398252487183","0.5877398252487183"
"59","119","119","119","0.16284023225307465","0.16284023225307465","0.16284023225307465","119","119","119","0.3145449161529541","0.3145449161529541","0.3145449161529541","119","119","119","0.5809431076049805","0.5809431076049805","0.5809431076049805"
"60","121","121","121","0.17067332565784454","0.17067332565784454","0.17067332565784454","121","121","121","0.3541194796562195","0.3541194796562195","0.3541194796562195","121","121","121","0.5679987072944641","0.5679987072944641","0.5679987072944641"
"61","123","123","123","0.20318198204040527","0.20318198204040527","0.20318198204040527","123","123","123","0.3065517544746399","0.3065517544746399","0.3065517544746399","123","123","123","0.5552095174789429","0.5552095174789429","0.5552095174789429"
"62","125","125","125","0.1555660516023636","0.1555660516023636","0.1555660516023636","125","125","125","0.3121604025363922","0.3121604025363922","0.3121604025363922","125","125","125","0.7294149398803711","0.7294149398803711","0.7294149398803711"
"63","127","127","127","0.14688703417778015","0.14688703417778015","0.14688703417778015","127","127","127","0.29480308294296265","0.29480308294296265","0.29480308294296265","127","127","127","0.7676239013671875","0.7676239013671875","0.7676239013671875"
"64","129","129","129","0.1428908407688141","0.1428908407688141","0.1428908407688141","129","129","129","0.36627525091171265","0.36627525091171265","0.36627525091171265","129","129","129","0.687034010887146","0.687034010887146","0.687034010887146"
"65","131","131","131","0.23314592242240906","0.23314592242240906","0.23314592242240906","131","131","131","0.31053322553634644","0.31053322553634644","0.31053322553634644","131","131","131","0.6450982093811035","0.6450982093811035","0.6450982093811035"
"66","133","133","133","0.5017563104629517","0.5017563104629517","0.5017563104629517","133","133","133","0.3485069274902344","0.3485069274902344","0.3485069274902344","133","133","133","0.6182399988174438","0.6182399988174438","0.6182399988174438"
"67","135","135","135","0.3135865330696106","0.3135865330696106","0.3135865330696106","135","135","135","0.286427766084671","0.286427766084671","0.286427766084671","135","135","135","0.6028188467025757","0.6028188467025757","0.6028188467025757"
"68","137","137","137","0.20297455787658691","0.20297455787658691","0.20297455787658691","137","137","137","0.709687352180481","0.709687352180481","0.709687352180481","137","137","137","0.5821635723114014","0.5821635723114014","0.5821635723114014"
"69","139","139","139","0.22911123931407928","0.22911123931407928","0.22911123931407928","139","139","139","0.621015191078186","0.621015191078186","0.621015191078186","139","139","139","0.5658879280090332","0.5658879280090332","0.5658879280090332"
"70","141","141","141","0.14829246699810028","0.14829246699810028","0.14829246699810028","141","141","141","0.4751732349395752","0.4751732349395752","0.4751732349395752","141","141","141","0.5570675134658813","0.5570675134658813","0.5570675134658813"
"71","143","143","143","0.1424700915813446","0.1424700915813446","0.1424700915813446","143","143","143","0.5240064859390259","0.5240064859390259","0.5240064859390259","143","143","143","0.5489139556884766","0.5489139556884766","0.5489139556884766"
"72","145","145","145","0.14082233607769012","0.14082233607769012","0.14082233607769012","145","145","145","0.4873606562614441","0.4873606562614441","0.4873606562614441","145","145","145","0.5465277433395386","0.5465277433395386","0.5465277433395386"
"73","147","147","147","0.14838185906410217","0.14838185906410217","0.14838185906410217","147","147","147","0.3778553903102875","0.3778553903102875","0.3778553903102875","147","147","147","0.5534676313400269","0.5534676313400269","0.5534676313400269"
"74","149","149","149","0.1321144551038742","0.1321144551038742","0.1321144551038742","149","149","149","0.3535309433937073","0.3535309433937073","0.3535309433937073","149","149","149","0.5488312244415283","0.5488312244415283","0.5488312244415283"
"75","151","151","151","0.137502059340477","0.137502059340477","0.137502059340477","151","151","151","0.3297279477119446","0.3297279477119446","0.3297279477119446","151","151","151","0.5275465250015259","0.5275465250015259","0.5275465250015259"
"76","153","153","153","0.12804962694644928","0.12804962694644928","0.12804962694644928","153","153","153","0.30722278356552124","0.30722278356552124","0.30722278356552124","153","153","153","0.6009138226509094","0.6009138226509094","0.6009138226509094"
"77","155","155","155","0.162160724401474","0.162160724401474","0.162160724401474","155","155","155","0.297844260931015","0.297844260931015","0.297844260931015","155","155","155","0.6236293315887451","0.6236293315887451","0.6236293315887451"
"78","157","157","157","0.12862221896648407","0.12862221896648407","0.12862221896648407","157","157","157","0.45787230134010315","0.45787230134010315","0.45787230134010315","157","157","157","0.5629194974899292","0.5629194974899292","0.5629194974899292"
"79","159","159","159","0.7960581183433533","0.7960581183433533","0.7960581183433533","159","159","159","0.4165821671485901","0.4165821671485901","0.4165821671485901","159","159","159","0.5364636778831482","0.5364636778831482","0.5364636778831482"
"80","161","161","161","0.4092377722263336","0.4092377722263336","0.4092377722263336","161","161","161","0.3239955008029938","0.3239955008029938","0.3239955008029938","161","161","161","0.5174709558486938","0.5174709558486938","0.5174709558486938"
"81","163","163","163","0.38269171118736267","0.38269171118736267","0.38269171118736267","163","163","163","0.29898935556411743","0.29898935556411743","0.29898935556411743","163","163","163","0.5039748549461365","0.5039748549461365","0.5039748549461365"
"82","165","165","165","0.2392221987247467","0.2392221987247467","0.2392221987247467","165","165","165","0.3360571265220642","0.3360571265220642","0.3360571265220642","165","165","165","0.4943718910217285","0.4943718910217285","0.4943718910217285"
"83","167","167","167","0.24636101722717285","0.24636101722717285","0.24636101722717285","167","167","167","0.3280424475669861","0.3280424475669861","0.3280424475669861","167","167","167","0.6288379430770874","0.6288379430770874","0.6288379430770874"
"84","169","169","169","0.18071654438972473","0.18071654438972473","0.18071654438972473","169","169","169","0.2843729853630066","0.2843729853630066","0.2843729853630066","169","169","169","0.5827208757400513","0.5827208757400513","0.5827208757400513"
"85","171","171","171","0.1895028054714203","0.1895028054714203","0.1895028054714203","171","171","171","0.27239009737968445","0.27239009737968445","0.27239009737968445","171","171","171","0.53652423620224","0.53652423620224","0.53652423620224"
"86","173","173","173","0.16800335049629211","0.16800335049629211","0.16800335049629211","173","173","173","0.27607542276382446","0.27607542276382446","0.27607542276382446","173","173","173","0.5132234692573547","0.5132234692573547","0.5132234692573547"
"87","175","175","175","0.19463835656642914","0.19463835656642914","0.19463835656642914","175","175","175","0.2607209086418152","0.2607209086418152","0.2607209086418152","175","175","175","0.5021094679832458","0.5021094679832458","0.5021094679832458"
"88","177","177","177","0.15258263051509857","0.15258263051509857","0.15258263051509857","177","177","177","0.3807680010795593","0.3807680010795593","0.3807680010795593","177","177","177","0.49327582120895386","0.49327582120895386","0.49327582120895386"
"89","179","179","179","0.149263396859169","0.149263396859169","0.149263396859169","179","179","179","0.32140177488327026","0.32140177488327026","0.32140177488327026","179","179","179","0.4863174557685852","0.4863174557685852","0.4863174557685852"
"90","181","181","181","0.1368488222360611","0.1368488222360611","0.1368488222360611","181","181","181","0.26655706763267517","0.26655706763267517","0.26655706763267517","181","181","181","0.48175182938575745","0.48175182938575745","0.48175182938575745"
"91","183","183","183","0.2338663637638092","0.2338663637638092","0.2338663637638092","183","183","183","0.2506452202796936","0.2506452202796936","0.2506452202796936","183","183","183","0.5141083002090454","0.5141083002090454","0.5141083002090454"
"92","185","185","185","0.1738985925912857","0.1738985925912857","0.1738985925912857","185","185","185","0.28084197640419006","0.28084197640419006","0.28084197640419006","185","185","185","0.48182421922683716","0.48182421922683716","0.48182421922683716"
"93","187","187","187","0.15975067019462585","0.15975067019462585","0.15975067019462585","187","187","187","0.2688319683074951","0.2688319683074951","0.2688319683074951","187","187","187","0.48749762773513794","0.48749762773513794","0.48749762773513794"
"94","189","189","189","0.13275189697742462","0.13275189697742462","0.13275189697742462","189","189","189","0.2509866952896118","0.2509866952896118","0.2509866952896118","189","189","189","0.4806769788265228","0.4806769788265228","0.4806769788265228"
"95","191","191","191","0.1341058313846588","0.1341058313846588","0.1341058313846588","191","191","191","0.27108582854270935","0.27108582854270935","0.27108582854270935","191","191","191","0.46347498893737793","0.46347498893737793","0.46347498893737793"
"96","193","193","193","0.1265815794467926","0.1265815794467926","0.1265815794467926","193","193","193","0.3499230444431305","0.3499230444431305","0.3499230444431305","193","193","193","0.47126713395118713","0.47126713395118713","0.47126713395118713"
"97","195","195","195","0.1537662148475647","0.1537662148475647","0.1537662148475647","195","195","195","0.27081188559532166","0.27081188559532166","0.27081188559532166","195","195","195","0.45992884039878845","0.45992884039878845","0.45992884039878845"
"98","197","197","197","0.12415019422769547","0.12415019422769547","0.12415019422769547","197","197","197","0.24773955345153809","0.24773955345153809","0.24773955345153809","197","197","197","0.4488591253757477","0.4488591253757477","0.4488591253757477"
"99","199","199","199","0.12525472044944763","0.12525472044944763","0.12525472044944763","199","199","199","0.23874357342720032","0.23874357342720032","0.23874357342720032","199","199","199","0.47739845514297485","0.47739845514297485","0.47739845514297485"